rank,channel,electrode_name,roi,roi_mapping_source,occ_score,occ_ci_lo,occ_ci_hi,occ_p_value,occ_fdr_p_value,occ_fdr_significant,occ_ci_significant,perm_score,perm_ci_lo,perm_ci_hi,perm_p_value,perm_fdr_p_value,perm_fdr_significant,perm_ci_significant,ig_rank,ig_importance,contribution_type,subject_stability,robust_significant,combined_score
21,22,P7,Parietal,montage_file,0.00032711069892953944,0.00015304774450667112,0.0004960938560557954,0.0001999600079984003,0.0006094019291379819,True,True,0.0003841331159626996,0.00013195690172322004,0.0006272747280237115,0.002599480103979204,0.005736783677747209,True,True,18,0.0012401503045111895,facilitatory,11/18,True,-0.16298965773629404
22,27,PO9,Parieto-Occipital,montage_file,0.0002576009653232716,4.316626489162446e-05,0.00046938000398653526,0.016796640671865627,0.028289079026300002,True,True,0.0004614181945353378,0.00017305843145759022,0.0007661676610141619,0.0027994401119776045,0.005972138905552223,True,True,24,0.001082632807083428,facilitatory,11/18,True,-0.1981595677355484
23,9,FC2,Fronto-Central,montage_file,0.00024935784531228335,1.3819025806438794e-05,0.00048256493782923544,0.030393921215756847,0.046314546614486626,True,True,0.0004460492325417789,9.462667707307843e-05,0.0007930671088857412,0.015796840631873626,0.029735229424703295,True,True,12,0.0014941698173061013,facilitatory,11/18,True,-0.21837405974638083
24,39,F6,Frontal,montage_file,0.0002440768149163988,0.00011700332523496063,0.0003698434365200407,0.0003999200159968006,0.0010664533759914684,True,True,0.0004338769265163092,0.00024174464898712842,0.0006114753064366031,0.0001999600079984003,0.0006094019291379819,True,True,41,0.0007106504635885358,facilitatory,12/18,True,-0.2328457351565229
25,26,P8,Parietal,montage_file,-0.0003449720953717644,-0.0004644518908527162,-0.00020991823969431867,0.0001999600079984003,0.0006094019291379819,True,True,-0.0002138464171209453,-0.00038798846626355324,-2.8722290179611833e-05,0.022595480903819236,0.039084075076876515,True,True,46,0.0006910287775099277,suppressive,9/18,True,-0.25232181574299156
26,46,C2,Central,montage_file,-0.00034229405132340797,-0.0005869521744273327,-0.00010063481450448804,0.002999400119976005,0.006192309925111752,True,True,0.0001541635982784224,-0.00019477024637622588,0.0005044556481786714,0.3709258148370326,0.4316227663558197,False,False,19,0.001210155664011836,mixed,9/18,False,-0.29465259673281496
27,4,Fz,Frontal,montage_file,0.00019665413800581003,2.4886279562373266e-05,0.00035577391851463434,0.015396920615876825,0.026632511335570725,True,True,0.0004273380578300099,0.00018949290420170194,0.0006596526925762492,0.0003999200159968006,0.0010664533759914684,True,True,28,0.0008834715117700398,facilitatory,11/18,True,-0.2955964267615022
28,34,AF4,Frontal,montage_file,-0.0002694320347574022,-0.0003897375411089556,-0.0001485552945070797,0.0001999600079984003,0.0006094019291379819,True,True,-0.0002752752878047802,-0.00043891611318161455,-0.00011215033556944062,0.0007998400319936012,0.001968837001830403,True,True,52,0.0006133188144303858,suppressive,13/18,True,-0.3052963518006778
29,58,PO3,Parieto-Occipital,montage_file,0.00021746205694881486,8.389933894813797e-05,0.0003513585847836954,0.0027994401119776045,0.005972138905552223,True,True,0.00035643185362403776,0.00015448044865955542,0.0005549758061030763,0.0007998400319936012,0.001968837001830403,True,True,34,0.0007793495315127075,facilitatory,13/18,True,-0.3163071057971573
30,20,CP6,Centro-Parietal,montage_file,-0.00031819729525365946,-0.000491819712942765,-0.0001372053145810412,0.0013997200559888023,0.0033178549475290126,True,True,-0.0001640412947277964,-0.00040343792368600397,8.723285601094914e-05,0.1841631673665267,0.23110671983250408,False,False,40,0.0007293227827176452,suppressive,12/18,True,-0.31790583070619455
