rank,channel_index,electrode_name,roi,occlusion_delta_p,occlusion_ci_low,occlusion_ci_high,occ_p_value,occ_fdr_p_value,permutation_delta_p,permutation_ci_low,permutation_ci_high,perm_p_value,perm_fdr_p_value,ig_rank,contribution_type,subject_stability,robust_significant,best_frequency_band,delta_score,theta_score,alpha_score,beta_score,frequency_contribution_type,interpretation_note
31,32,AF7,Frontal,0.00016371969087624255,-3.399014160220998e-05,0.00036421668842250905,0.11037792441511697,0.14128374325134974,0.0004031610047375714,0.00011264824996024011,0.0007075472964364804,0.008198360327934412,0.016925647128638786,21,facilitatory,10/18,True,theta,8.269776117231231e-06,-5.0826285587390885e-05,6.3609563767386135e-06,-2.804402129186201e-06,band_selective,Removing this channel reduces P(attended); significant by permutation only; best band theta may be suppressive/noisy
32,24,Pz,Parietal,0.0001665461799244822,3.709105034301313e-05,0.00030200293034683023,0.01279744051189762,0.023401034078898503,0.00035581033170959097,0.00018029054677412833,0.0005458477661013602,0.0001999600079984003,0.0006094019291379819,39,facilitatory,10/18,True,theta,8.915468788472936e-05,0.00011267165973549709,-0.00010810465755639598,-3.467676833679434e-06,band_selective,Removing this channel reduces P(attended); significant by both methods; best band theta supports decoding
33,48,TP7,Temporal,0.00016580288424903963,4.688827141567514e-05,0.00027912405869107187,0.005398920215956809,0.010797840431913617,0.000311741214475514,0.0001535842486737687,0.00047785098694356874,0.0003999200159968006,0.0010664533759914684,36,facilitatory,12/18,True,beta,8.090199844446033e-05,-2.032455086009577e-05,5.704721115762368e-05,9.096372377825901e-05,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band beta supports decoding
34,25,P4,Parietal,-0.0002543285047566449,-0.00036535136558023495,-0.0001442188330822521,0.0001999600079984003,0.0006094019291379819,-0.00011739581087489187,-0.00027311746481760045,3.036324385507594e-05,0.14397120575884823,0.2003077645340497,60,suppressive,13/18,True,delta,-0.0002089463669108227,-4.6793931687716395e-05,4.13712177760317e-06,-2.1782334442832507e-06,band_selective,Removing this channel increases P(attended); significant by occlusion only; best band delta may be suppressive/noisy
35,19,CP2,Centro-Parietal,-0.00020187541290565773,-0.0003137165227054078,-8.512314951714177e-05,0.0007998400319936012,0.002047590481903619,-0.00017405527241436052,-0.0003347727956227314,-1.5279113878438506e-05,0.03259348130373925,0.052149570085982797,56,suppressive,13/18,True,delta,-0.00010214225039817393,7.252222076203907e-06,-9.481939196120948e-05,-2.8455015126382932e-05,band_selective,Removing this channel increases P(attended); significant by occlusion only; best band delta may be suppressive/noisy
36,0,Fp1,Frontal,-0.00021868537237614761,-0.00033877792393351776,-9.106251836558921e-05,0.0011997600479904018,0.0029532555027456044,-0.00012404979747018696,-0.00030531102179745095,5.735105616442946e-05,0.1829634073185363,0.23110671983250408,26,suppressive,9/18,True,theta,-7.599854143336415e-05,-9.246522677130997e-05,-7.603795529576018e-05,4.137842552154325e-06,band_selective,Removing this channel increases P(attended); significant by occlusion only; best band theta may be suppressive/noisy
37,33,AF3,Frontal,-0.00016337601490962653,-0.0002809286684165766,-4.470112165551129e-05,0.008398320335932814,0.015808602985285296,-0.00014838483966427086,-0.0003305045710301693,2.8794087653542626e-05,0.09998000399920016,0.14542546036247297,29,suppressive,10/18,True,delta,-0.0001531940361019224,-3.026162085006945e-05,2.1582327462965623e-05,-1.954024628503248e-05,band_selective,Removing this channel increases P(attended); significant by occlusion only; best band delta may be suppressive/noisy
38,59,POz,Parieto-Occipital,0.0001209663572134795,2.1092747004679695e-05,0.0002262114299300276,0.022195560887822437,0.0355128974205159,0.0001996298263102402,4.8324426291165535e-05,0.0003610552083930851,0.011397720455908818,0.022795440911817635,51,facilitatory,14/18,True,delta,0.00021221341739874333,-7.76258239056915e-05,1.511070422566263e-05,-2.4640339688630775e-06,band_selective,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
39,16,TP9,Temporal,6.438656353656156e-05,-7.841624236769146e-05,0.00020794788150139796,0.377124575084983,0.44696245935997986,0.00026158259606655734,5.13525951975658e-05,0.000475618658978262,0.016396720655868825,0.029982574913588706,32,facilitatory,9/18,True,beta,-3.342948548379354e-05,2.106940337398555e-05,-3.0434941891144263e-06,0.0001345562923233956,band_selective,Removing this channel reduces P(attended); significant by permutation only; best band beta supports decoding
40,63,M2,Mastoid,-0.00012085877450895898,-0.0002003464306026329,-4.4001636773715856e-05,0.0023995200959808036,0.005484617362241837,-0.00013586457128877993,-0.0002499211557485439,-2.5094281284161647e-05,0.01999600079984003,0.035548445866382276,59,suppressive,12/18,True,delta,-0.0001204424406751059,1.6643460185150616e-05,-6.573303380719153e-06,-2.8032707632519305e-05,band_selective,Removing this channel increases P(attended); significant by both methods; best band delta may be suppressive/noisy
41,35,AF8,Frontal,0.00012808041808045942,1.6494290420302643e-05,0.00024276298652460546,0.026394721055788842,0.041201515794402094,0.00010419366536317048,-5.642661930602273e-05,0.0002627686343075316,0.21035792841431714,0.258902065740698,43,facilitatory,10/18,True,beta,5.10103018314112e-05,-5.018916635890491e-05,-1.0963833119603805e-05,0.00012474542018026114,band_selective,Removing this channel reduces P(attended); significant by occlusion only; best band beta supports decoding
42,18,CP1,Centro-Parietal,-0.00015229551512518046,-0.00027034831065454604,-2.331646329458852e-05,0.014997000599880024,0.026632511335570725,-5.4425939365669534e-05,-0.00023516138091131492,0.00012343217809627084,0.5430913817236552,0.5992732487985161,64,suppressive,9/18,True,alpha,-5.81683634663932e-05,-6.692634087812621e-06,-0.00012430059723556042,-1.6569598301430233e-05,broadband_suppressive,Removing this channel increases P(attended); significant by occlusion only; best band alpha may be suppressive/noisy
43,29,Oz,Occipital,8.920811944537692e-05,3.441319421485625e-06,0.00017373189799211637,0.05418916216756649,0.07882059951646035,0.00016970960446345952,4.7073374559849914e-05,0.00029954053259190216,0.01199760047990402,0.023268073657995676,62,facilitatory,11/18,True,delta,0.00011990947677986696,-4.968872235622257e-05,2.91354281216627e-05,2.251135629194323e-05,broadband_facilitatory,Removing this channel reduces P(attended); significant by permutation only; best band delta supports decoding
44,56,P6,Parietal,-0.00010887035617121944,-0.00018559715427734233,-3.0347770746843335e-05,0.007798440311937612,0.015124247877697188,-4.660328965128204e-05,-0.00015291762002456332,6.179207784158197e-05,0.39432113577284544,0.44768590141620795,63,suppressive,10/18,True,delta,-7.764222391415387e-05,-3.0499215426971205e-05,-4.024273948743939e-06,-2.1295834812917747e-05,broadband_suppressive,Removing this channel increases P(attended); significant by occlusion only; best band delta may be suppressive/noisy
45,11,T7,Temporal,2.8133907435852803e-06,-0.0001324822499796196,0.0001402998455328705,0.968006398720256,0.968006398720256,0.00021083140446815962,2.583015664124203e-05,0.00041360260748568865,0.02439512097580484,0.04108651953819762,44,facilitatory,10/18,True,alpha,8.534311928087845e-05,4.099276338820346e-05,-0.00010971893789246678,-3.818544064415619e-05,band_selective,Removing this channel reduces P(attended); significant by permutation only; best band alpha may be suppressive/noisy
