channel,electrode_name,roi,occ_rank,is_robust,most_important_band,frequency_contribution_type,delta_dp,delta_ci_lo,delta_ci_hi,theta_dp,theta_ci_lo,theta_ci_hi,alpha_dp,alpha_ci_lo,alpha_ci_hi,beta_dp,beta_ci_lo,beta_ci_hi
27,PO9,Parieto-Occipital,22,True,theta,band_selective,-0.00019977321790065616,-0.0003164082590956241,-8.98922413398396e-05,0.0005353594897314906,0.0004302704670408275,0.0006433591683162375,9.8695199994836e-05,1.961496022886429e-05,0.00017296014921157614,-7.64791839173995e-05,-0.00016313262567564378,4.627069040452625e-06
9,FC2,Fronto-Central,23,True,delta,broadband_facilitatory,0.0003722876717802137,0.00024200088046200113,0.0005036577858845703,-0.00025429113884456456,-0.0003067261823161971,-0.00020141815912211317,4.0228238503914326e-05,1.4450858520831404e-05,6.86418627083185e-05,4.4246960896998644e-05,-3.005352559739549e-05,0.00011613063634285905
39,F6,Frontal,24,True,delta,broadband_facilitatory,0.00011843110405607149,4.207224747005967e-05,0.00019104899656667836,-4.1466944821877405e-05,-9.482426085014595e-05,1.4809632580181642e-05,8.243885531555861e-06,-2.054136602964718e-05,3.815769641732909e-05,0.00010271523933624849,4.563316570056486e-05,0.00016077996770036404
26,P8,Parietal,25,True,delta,band_selective,-0.00021725591795984656,-0.00027637291204882784,-0.00015967650979291652,3.917793947039172e-05,4.5488599553778693e-07,7.937968803162221e-05,-0.00013736401160713285,-0.000194701147484011,-8.273153252957857e-05,-4.289585558581166e-05,-0.00012043845636071636,4.266432706572229e-05
4,Fz,Frontal,27,True,delta,band_selective,0.00023345505178440362,0.00015818519241292961,0.00030806724971625953,-4.55449044238776e-05,-0.00014925730356480925,5.7477231712255075e-05,2.2032871129340492e-05,-1.7655461169852058e-05,6.0953487809456414e-05,-3.146643939544447e-05,-0.00010644613357726484,4.3953904241789096e-05
34,AF4,Frontal,28,True,delta,band_selective,-0.0002073975483654067,-0.0002752684471488464,-0.00013722377552767293,-2.4182731067412533e-05,-5.197398349991999e-05,2.2070228908432522e-06,1.8946591808344238e-05,-7.081384217144657e-06,4.489237899178984e-05,2.2691669073537923e-05,-2.2502324873130414e-05,6.860883531771829e-05
58,PO3,Parieto-Occipital,29,True,beta,broadband_facilitatory,5.792718002339825e-05,-4.674546380556345e-06,0.00011643934285530108,7.900020864326507e-05,4.6080492211331154e-05,0.00011243244098295688,1.9617713405750692e-05,-4.743668851006077e-05,8.398414702242004e-05,9.63329803198576e-05,2.4960360087789015e-05,0.00017377517870045264
20,CP6,Centro-Parietal,30,True,delta,band_selective,-0.00023133096692617983,-0.0003359624577569775,-0.0001221814200107474,-3.7511985283344984e-05,-0.00012050819168507587,4.209292537780121e-05,-7.072186417644843e-05,-0.0001374939231027383,-5.655315055719284e-06,2.8569425012392458e-06,-4.631616084225243e-05,5.349832117644837e-05
30,O2,Occipital,31,True,delta,band_selective,0.00035921356175094843,0.0002992250134411734,0.0004196070396574214,1.2472018170228694e-05,-2.8224618836247826e-05,5.40518120033084e-05,-6.900422158651054e-05,-0.00011858483430842171,-2.0534674149530532e-05,-6.066486093914136e-05,-9.742278343765065e-05,-2.517105026527134e-05
28,O1,Occipital,32,True,delta,broadband_facilitatory,0.00018235176685266197,0.00011128847927466272,0.00025511770218145097,-0.00010010355617851019,-0.0001386241983709624,-6.214970799192093e-05,4.62092793895863e-05,1.1945318556172426e-05,8.131824160955145e-05,2.2898968381923623e-05,-2.397912039668881e-05,7.0109716943989e-05
32,AF7,Frontal,33,True,theta,band_selective,8.269776117231231e-06,-0.00011288790246908318,0.0001319460363447433,-5.0826285587390885e-05,-0.00011194089402124518,1.0859336975954617e-05,6.3609563767386135e-06,-4.652828629332361e-05,5.5340240487566915e-05,-2.804402129186201e-06,-3.742423496078118e-05,3.354208320160975e-05
24,Pz,Parietal,34,True,theta,band_selective,8.915468788472936e-05,2.3095132155503966e-05,0.00015729011029179673,0.00011267165973549709,6.92137960868422e-05,0.00015662037840229458,-0.00010810465755639598,-0.0001660951063968241,-5.110889524075903e-05,-3.467676833679434e-06,-6.970549038669559e-05,6.458382467826592e-05
48,TP7,Temporal,35,True,beta,broadband_facilitatory,8.090199844446033e-05,2.505085749362479e-05,0.00013370045526244203,-2.032455086009577e-05,-5.176997492526425e-05,1.4791533658353669e-05,5.704721115762368e-05,1.2706057987088575e-05,0.00010263566837238612,9.096372377825901e-05,1.96003778910381e-05,0.0001620569950318895
25,P4,Parietal,36,True,delta,band_selective,-0.0002089463669108227,-0.00027520707735675384,-0.0001430296342732618,-4.6793931687716395e-05,-8.842599290801446e-05,-6.385209826476057e-06,4.13712177760317e-06,-5.5650978174526205e-05,6.39410354779101e-05,-2.1782334442832507e-06,-2.4901587403292064e-05,2.0139763955739863e-05
19,CP2,Centro-Parietal,37,True,delta,band_selective,-0.00010214225039817393,-0.0001521350164694013,-4.891748312729764e-05,7.252222076203907e-06,-3.9931104402057814e-05,5.530395628738909e-05,-9.481939196120948e-05,-0.00014067695701669436,-4.834015717278817e-05,-2.8455015126382932e-05,-7.336900325753958e-05,1.850742578426434e-05
0,Fp1,Frontal,38,True,theta,band_selective,-7.599854143336415e-05,-0.00014196761621860786,-4.937051920706085e-06,-9.246522677130997e-05,-0.0001613510165043408,-2.1440603177325132e-05,-7.603795529576018e-05,-0.0001262091038370272,-2.7925019685426382e-05,4.137842552154325e-06,-2.9709715090575607e-05,3.74117928004125e-05
33,AF3,Frontal,39,True,delta,band_selective,-0.0001531940361019224,-0.00022796859848313035,-7.039461615931941e-05,-3.026162085006945e-05,-8.813021504465724e-05,3.0617525044362976e-05,2.1582327462965623e-05,-7.934109430607343e-06,5.0852924414357386e-05,-1.954024628503248e-05,-5.130301033204887e-05,1.2895103054688656e-05
59,POz,Parieto-Occipital,40,True,delta,band_selective,0.00021221341739874333,0.00014281809744716157,0.00028460748653742486,-7.76258239056915e-05,-0.00011627091407717671,-3.817869674094255e-05,1.511070422566263e-05,-1.9275251133876726e-05,4.9438306632509894e-05,-2.4640339688630775e-06,-2.8467904530771194e-05,2.5545835660523134e-05
16,TP9,Temporal,41,True,beta,band_selective,-3.342948548379354e-05,-0.00010289628662576433,3.6477370213106e-05,2.106940337398555e-05,-4.0162769073504e-05,7.936496476759201e-05,-3.0434941891144263e-06,-4.725372100438105e-05,4.31434466008794e-05,0.0001345562923233956,5.587932500930038e-05,0.00021487854428414718
63,M2,Mastoid,43,True,delta,band_selective,-0.0001204424406751059,-0.00015974496709532103,-7.926836206024747e-05,1.6643460185150616e-05,-8.765882967054478e-06,4.324319761508375e-05,-6.573303380719153e-06,-4.7371777964144715e-05,3.125848406853035e-05,-2.8032707632519305e-05,-5.7447974722890645e-05,2.055281748880587e-06
35,AF8,Frontal,44,True,beta,band_selective,5.10103018314112e-05,-1.3058478521088527e-05,0.00011208443756913765,-5.018916635890491e-05,-0.0001014471521557425,5.749471904437046e-06,-1.0963833119603805e-05,-4.1776347643462934e-05,2.2292312223726178e-05,0.00012474542018026114,7.209702089312489e-05,0.00017943958409887272
18,CP1,Centro-Parietal,45,True,alpha,broadband_suppressive,-5.81683634663932e-05,-0.00013733502200921066,2.425181237413198e-05,-6.692634087812621e-06,-4.4478402287495555e-05,3.123431224594241e-05,-0.00012430059723556042,-0.00016684871989127714,-8.268439214589308e-05,-1.6569598301430233e-05,-5.023406329200951e-05,1.710863211883405e-05
29,Oz,Occipital,46,True,delta,broadband_facilitatory,0.00011990947677986696,5.8891729986498857e-05,0.0001817899868910899,-4.968872235622257e-05,-7.373892440227791e-05,-2.5160004634017243e-05,2.91354281216627e-05,-1.8496963463121542e-06,5.951008579359039e-05,2.251135629194323e-05,-5.131395676016818e-06,4.9332803246215914e-05
56,P6,Parietal,52,True,delta,broadband_suppressive,-7.764222391415387e-05,-0.00011973147138633067,-3.735578366104166e-05,-3.0499215426971205e-05,-5.558191642194287e-05,-3.6243360511889644e-06,-4.024273948743939e-06,-3.979252396675292e-05,3.185825480613854e-05,-2.1295834812917747e-05,-5.682573664671508e-05,1.2972974650438043e-05
11,T7,Temporal,56,True,alpha,band_selective,8.534311928087845e-05,2.9558960841313842e-05,0.00014330470003187656,4.099276338820346e-05,-1.8022349695456783e-05,0.00010178871143580181,-0.00010971893789246678,-0.00016026019038690718,-5.9336451704439256e-05,-3.818544064415619e-05,-0.00011394192370062228,3.799221522058358e-05
